wing	t	field	harness_value	independent_value	diff
call	3	gamma_response_ratio	19/20	19/20	0
call	3	combined_response_ratio	13/20	13/20	0
call	3	below_floor	True	True	0
call	3	consecutive_below_count	1	1	0
call	3	wing_dullness_triggered	False	False	0
call	4	moneyness_band_position	within	within	0
call	4	stressed_vega	189/10	189/10	0
call	4	stressed_gamma	72/5	72/5	0
call	4	vega_response_ratio	9/10	9/10	0
call	4	gamma_response_ratio	3/5	3/5	0
call	4	combined_response_ratio	3/5	3/5	0
call	4	below_floor	True	True	0
call	4	consecutive_below_count	2	2	0
call	4	wing_dullness_triggered	False	False	0
call	5	moneyness_band_position	within	within	0
call	5	stressed_vega	357/20	357/20	0
call	5	stressed_gamma	96/5	96/5	0
call	5	vega_response_ratio	17/20	17/20	0
call	5	gamma_response_ratio	4/5	4/5	0
call	5	combined_response_ratio	4/5	4/5	0
call	5	below_floor	False	False	0
call	5	consecutive_below_count	0	0	0
call	5	wing_dullness_triggered	False	False	0
call	6	moneyness_band_position	within	within	0
call	6	stressed_vega	21	21	0
call	6	stressed_gamma	24	24	0
call	6	vega_response_ratio	1	1	0
call	6	gamma_response_ratio	1	1	0
call	6	combined_response_ratio	1	1	0
call	6	below_floor	False	False	0
call	6	consecutive_below_count	0	0	0
call	6	wing_dullness_triggered	False	False	0
call	7	moneyness_band_position	within	within	0
call	7	stressed_vega	147/10	147/10	0
call	7	stressed_gamma	84/5	84/5	0
call	7	vega_response_ratio	7/10	7/10	0
call	7	gamma_response_ratio	7/10	7/10	0
call	7	combined_response_ratio	7/10	7/10	0
call	7	below_floor	False	False	0
call	7	consecutive_below_count	0	0	0
call	7	wing_dullness_triggered	False	False	0
call	8	moneyness_band_position	within	within	0
call	8	stressed_vega	63/4	63/4	0
call	8	stressed_gamma	78/5	78/5	0
call	8	vega_response_ratio	3/4	3/4	0
call	8	gamma_response_ratio	13/20	13/20	0
call	8	combined_response_ratio	13/20	13/20	0
call	8	below_floor	True	True	0
call	8	consecutive_below_count	1	1	0
call	8	wing_dullness_triggered	False	False	0
call	9	moneyness_band_position	within	within	0
call	9	stressed_vega	84/5	84/5	0
call	9	stressed_gamma	102/5	102/5	0
call	9	vega_response_ratio	4/5	4/5	0
call	9	gamma_response_ratio	17/20	17/20	0
call	9	combined_response_ratio	4/5	4/5	0
call	9	below_floor	False	False	0
call	9	consecutive_below_count	0	0	0
call	9	wing_dullness_triggered	False	False	0
