# 底版-增强版diff面清单（S-1机械前哨）
# route_table层面变动：
instrument_class	field	baseline_v1_1	enhanced_v1_2candidate
european_option	route_id	'bs_no_dividend_closed_form'	'bs_dividend_yield_closed_form'
european_option	unstated_dimensions_hit	['dividend_carry', 'day_count_convention']	['day_count_convention']
american_option	unstated_dimensions_hit	['early_exercise', 'dividend_carry', 'day_count_convention']	['early_exercise', 'day_count_convention']
#
# per-lot数值分量层面变动（288项全量，含零变动行）：
container	lot_id	layer	component	baseline_v1_1	enhanced_v1_2candidate	verdict
scenario_revaluation	L07	per_unit	theta	-5.5755020827409805	-6.334826657296769	变动
scenario_revaluation	L07	per_unit	rho	-40.45245900214144	-40.98995613190625	变动
scenario_revaluation	L07	per_lot	value	5266.998083988528	5410.537210146383	变动
scenario_revaluation	L07	per_lot	delta	-202.16444359014622	-204.0763571623867	变动
scenario_revaluation	L07	per_lot	gamma	4.897790255257419	4.78941603890799	变动
scenario_revaluation	L07	per_lot	vega	7233.475980321627	7073.419659002375	变动
scenario_revaluation	L07	per_lot	theta	-1672.650624822294	-1900.4479971890305	变动
scenario_revaluation	L07	per_lot	rho	-12135.737700642432	-12296.986839571875	变动
scenario_revaluation	L08	per_unit	value	2.7166138116948986	2.4280382600346897	变动
scenario_revaluation	L08	per_unit	delta	0.28894573494980824	0.2636240742444352	变动
scenario_revaluation	L08	per_unit	gamma	0.01893180203191332	0.017902685496438645	变动
scenario_revaluation	L08	per_unit	vega	16.231653767111684	15.349314977509085	变动
scenario_revaluation	L08	per_unit	theta	-3.4142634737038495	-2.9437058461385712	变动
scenario_revaluation	L08	per_unit	rho	11.008308598420992	10.094105266575983	变动
scenario_revaluation	L08	per_lot	value	-543.3227623389797	-485.60765200693794	变动
scenario_revaluation	L08	per_lot	delta	-57.78914698996165	-52.724814848887036	变动
scenario_revaluation	L08	per_lot	gamma	-3.786360406382664	-3.5805370992877292	变动
scenario_revaluation	L08	per_lot	vega	-3246.330753422337	-3069.862995501817	变动
scenario_revaluation	L08	per_lot	theta	682.85269474077	588.7411692277143	变动
scenario_revaluation	L08	per_lot	rho	-2201.6617196841985	-2018.8210533151967	变动
time_shift_revaluation	L01	per_unit	value	100.0	100.0	零变动
time_shift_revaluation	L01	per_unit	delta	1.0	1.0	零变动
time_shift_revaluation	L01	per_unit	gamma	0.0	0.0	零变动
time_shift_revaluation	L01	per_unit	vega	0.0	0.0	零变动
time_shift_revaluation	L01	per_unit	theta	0.0	0.0	零变动
time_shift_revaluation	L01	per_unit	rho	0.0	0.0	零变动
time_shift_revaluation	L01	per_lot	value	100000.0	100000.0	零变动
time_shift_revaluation	L01	per_lot	delta	1000.0	1000.0	零变动
time_shift_revaluation	L01	per_lot	gamma	0.0	0.0	零变动
time_shift_revaluation	L01	per_lot	vega	0.0	0.0	零变动
time_shift_revaluation	L01	per_lot	theta	0.0	0.0	零变动
time_shift_revaluation	L01	per_lot	rho	0.0	0.0	零变动
time_shift_revaluation	L02	per_unit	value	50.0	50.0	零变动
time_shift_revaluation	L02	per_unit	delta	1.0	1.0	零变动
time_shift_revaluation	L02	per_unit	gamma	0.0	0.0	零变动
time_shift_revaluation	L02	per_unit	vega	0.0	0.0	零变动
time_shift_revaluation	L02	per_unit	theta	0.0	0.0	零变动
time_shift_revaluation	L02	per_unit	rho	0.0	0.0	零变动
time_shift_revaluation	L02	per_lot	value	10000.0	10000.0	零变动
time_shift_revaluation	L02	per_lot	delta	200.0	200.0	零变动
time_shift_revaluation	L02	per_lot	gamma	0.0	0.0	零变动
time_shift_revaluation	L02	per_lot	vega	0.0	0.0	零变动
time_shift_revaluation	L02	per_lot	theta	0.0	0.0	零变动
time_shift_revaluation	L02	per_lot	rho	0.0	0.0	零变动
time_shift_revaluation	L03	per_unit	value	4000.0	4000.0	零变动
time_shift_revaluation	L03	per_unit	delta	1.0	1.0	零变动
time_shift_revaluation	L03	per_unit	gamma	0.0	0.0	零变动
time_shift_revaluation	L03	per_unit	vega	0.0	0.0	零变动
time_shift_revaluation	L03	per_unit	theta	0.0	0.0	零变动
time_shift_revaluation	L03	per_unit	rho	0.0	0.0	零变动
time_shift_revaluation	L03	per_lot	value	40000.0	40000.0	零变动
time_shift_revaluation	L03	per_lot	delta	10.0	10.0	零变动
time_shift_revaluation	L03	per_lot	gamma	0.0	0.0	零变动
time_shift_revaluation	L03	per_lot	vega	0.0	0.0	零变动
time_shift_revaluation	L03	per_lot	theta	0.0	0.0	零变动
time_shift_revaluation	L03	per_lot	rho	0.0	0.0	零变动
time_shift_revaluation	L04	per_unit	value	4000.0	4000.0	零变动
time_shift_revaluation	L04	per_unit	delta	1.0	1.0	零变动
time_shift_revaluation	L04	per_unit	gamma	0.0	0.0	零变动
time_shift_revaluation	L04	per_unit	vega	0.0	0.0	零变动
time_shift_revaluation	L04	per_unit	theta	0.0	0.0	零变动
time_shift_revaluation	L04	per_unit	rho	0.0	0.0	零变动
time_shift_revaluation	L04	per_lot	value	-800000.0	-800000.0	零变动
time_shift_revaluation	L04	per_lot	delta	-200.0	-200.0	零变动
time_shift_revaluation	L04	per_lot	gamma	-0.0	-0.0	零变动
time_shift_revaluation	L04	per_lot	vega	-0.0	-0.0	零变动
time_shift_revaluation	L04	per_lot	theta	-0.0	-0.0	零变动
time_shift_revaluation	L04	per_lot	rho	-0.0	-0.0	零变动
time_shift_revaluation	L05	per_unit	value	2.0395317939892266	1.9290268493551253	变动
time_shift_revaluation	L05	per_unit	delta	0.3430923752110286	0.3291922317811837	变动
time_shift_revaluation	L05	per_unit	gamma	0.03926747095229062	0.03856347684748492	变动
time_shift_revaluation	L05	per_unit	vega	17.213137951689035	16.904537796157765	变动
time_shift_revaluation	L05	per_unit	theta	-8.821585362271533	-8.148612911688103	变动
time_shift_revaluation	L05	per_unit	rho	7.072812214161891	6.792371798085093	变动
time_shift_revaluation	L05	per_lot	value	1019.7658969946133	964.5134246775626	变动
time_shift_revaluation	L05	per_lot	delta	171.5461876055143	164.59611589059185	变动
time_shift_revaluation	L05	per_lot	gamma	19.63373547614531	19.28173842374246	变动
time_shift_revaluation	L05	per_lot	vega	8606.568975844517	8452.268898078883	变动
time_shift_revaluation	L05	per_lot	theta	-4410.7926811357665	-4074.3064558440515	变动
time_shift_revaluation	L05	per_lot	rho	3536.4061070809453	3396.1858990425467	变动
time_shift_revaluation	L06	per_unit	value	1.0765843466344407	1.1100678806433208	变动
time_shift_revaluation	L06	per_unit	delta	-0.2301238598488684	-0.23546688613826613	变动
time_shift_revaluation	L06	per_unit	gamma	0.03923501096748963	0.03971299665982546	变动
time_shift_revaluation	L06	per_unit	vega	9.405653314124224	9.520238925300623	变动
time_shift_revaluation	L06	per_unit	theta	-11.538271817394872	-12.023809090568756	变动
time_shift_revaluation	L06	per_unit	rho	-2.309901264666424	-2.364346513168349	变动
time_shift_revaluation	L06	per_lot	value	-861.2674773075526	-888.0543045146567	变动
time_shift_revaluation	L06	per_lot	delta	184.09908787909472	188.3735089106129	变动
time_shift_revaluation	L06	per_lot	gamma	-31.388008773991704	-31.770397327860366	变动
time_shift_revaluation	L06	per_lot	vega	-7524.5226512993795	-7616.1911402404985	变动
time_shift_revaluation	L06	per_lot	theta	9230.617453915896	9619.047272455005	变动
time_shift_revaluation	L06	per_lot	rho	1847.921011733139	1891.4772105346792	变动
time_shift_revaluation	L07	per_unit	value	13.412007299327733	13.847414334233306	变动
time_shift_revaluation	L07	per_unit	delta	-0.6152550564727115	-0.6238668537379692	变动
time_shift_revaluation	L07	per_unit	gamma	0.0186118671070357	0.018286398177518898	变动
time_shift_revaluation	L07	per_unit	vega	26.158596783313193	25.701156890595055	变动
time_shift_revaluation	L07	per_unit	theta	-6.1272148097681	-6.877656469249552	变动
time_shift_revaluation	L07	per_unit	rho	-35.10771154484496	-35.7151535618443	变动
time_shift_revaluation	L07	per_lot	value	4023.60218979832	4154.2243002699915	变动
time_shift_revaluation	L07	per_lot	delta	-184.57651694181345	-187.16005612139077	变动
time_shift_revaluation	L07	per_lot	gamma	5.58356013211071	5.485919453255669	变动
time_shift_revaluation	L07	per_lot	vega	7847.579034993958	7710.347067178516	变动
time_shift_revaluation	L07	per_lot	theta	-1838.16444293043	-2063.2969407748656	变动
time_shift_revaluation	L07	per_lot	rho	-10532.313463453487	-10714.54606855329	变动
time_shift_revaluation	L08	per_unit	value	2.8634050065485894	2.5492981725870365	变动
time_shift_revaluation	L08	per_unit	delta	0.30748961486968995	0.2799918675208324	变动
time_shift_revaluation	L08	per_unit	gamma	0.020368953365477373	0.019288585502211936	变动
time_shift_revaluation	L08	per_unit	vega	17.33453736753811	16.41511471677968	变动
time_shift_revaluation	L08	per_unit	theta	-3.4943282561968	-2.9890824568569254	变动
time_shift_revaluation	L08	per_unit	rho	12.16830653866369	11.136588485551716	变动
time_shift_revaluation	L08	per_lot	value	-572.6810013097179	-509.8596345174073	变动
time_shift_revaluation	L08	per_lot	delta	-61.49792297393799	-55.99837350416648	变动
time_shift_revaluation	L08	per_lot	gamma	-4.073790673095474	-3.857717100442387	变动
time_shift_revaluation	L08	per_lot	vega	-3466.9074735076224	-3283.022943355936	变动
time_shift_revaluation	L08	per_lot	theta	698.86565123936	597.816491371385	变动
time_shift_revaluation	L08	per_lot	rho	-2433.6613077327384	-2227.317697110343	变动
